Id,Name,Latitude,Longitude,Altitude,Ownership,Type,admin3Name,admin3Pcod,admin2Name,admin2Pcod,admin1Name,admin1Pcod,City,Kebele,Status
1010434,Serba Health Center,9.003009100000000,35.310917300000000,2071.880999999999858,Public/Government,Health Center,Lalo Kile,ET041811,Kelem Wellega,ET0418,Oromia,ET04,Sarba,Sarba,Approved
1073312,Serbare Health Post,12.932665000000000,38.134855000000002,1826.799999999999955,Public/Government,Health Post,Janamora,ET030103,North Gondar,ET0301,Amhara,ET03,Janamora,Serbare,Approved
1051750,Serbi Health Post,9.703690999999999,35.293875000000000,,Public/Government,Health Post,Kiltu Kara,ET040105,West Wellega,ET0401,Oromia,ET04,Serbi,Serbi,Approved
1025976,Serbo Badiya Health Post,7.338556200000000,39.265955599999998,2912.300000000000182,Public/Government,Health Post,Limu Bilbilo,ET040818,Arsi,ET0408,Oromia,ET04,,Sirbo Badiya,Approved
1010626,Serbo Health Center,7.714820600000000,36.985006300000002,1783.700000000000045,Public/Government,Health Center,Kersa (Jimma),ET040405,Jimma,ET0404,Oromia,ET04,Serbo,Serbo,Approved
1083468,Serbo Health Center Community Pharmacy,7.712274600000000,36.983065099999997,1789.507000000000062,Public/Government,Pharmacy,Kersa (Jimma),ET040405,Jimma,ET0404,Oromia,ET04,Serbo,"01",Approved
1066816,Sercamo Health Post,9.330121300000000,40.208308899999999,730.000000000000000,Public/Government,Health Post,Hanruka,ET020307,Gabi /Zone 3,ET0203,Afar,ET02,,,Approved
1076492,Serdem Health post,11.112276800000000,39.763336199999998,2245.411376999999902,Public/Government,Health Post,Dessie Zuria,ET030409,South Wello,ET0304,Amhara,ET03,Serdem,"8",Approved
1025979,Serdiya Health Post,8.698091200000000,40.238428999999996,1992.099999999999909,Public/Government,Health Post,Anchar,ET040906,West Hararge,ET0409,Oromia,ET04,Serdiya,Serdiya,Approved
1061832,Serdo Health Center,11.961788300000000,41.305423300000001,384.899999999999977,Public/Government,Health Center,Dubti,ET020101,Awsi /Zone 1,ET0201,Afar,ET02,Dubti,Serdo,Approved
1046071,Sere Atalacha Health Post,6.858795000000000,37.551381999999997,1966.000000000000000,Public/Government,Health Post,Kindo Koyesha,ET070606,Wolayita,ET0706,SNNP,ET07,Bekiolsegno,Gale Wargo,Approved
1046078,Sere Balaka Health Post,6.842016000000000,37.554689000000003,1998.000000000000000,Public/Government,Health Post,Kindo Koyesha,ET070606,Wolayita,ET0706,SNNP,ET07,Bekilosegno,Gale Wargo,Approved
1066269,Sere Esho Health Post,6.708382300000000,37.599898000000003,0.000000000000000,Public/Government,Health Post,Ofa,ET070607,Wolayita,ET0706,SNNP,ET07,Sere Esho,Sere Esho,Approved
1046259,Sere Finchawa Basic Health Post,6.891581200000000,37.552051900000002,1312.000000000000000,Public/Government,Health Post,Kindo Koyesha,ET070606,Wolayita,ET0706,SNNP,ET07,Bele,Sere Finchawa,Approved
1072988,Sere Health Post,10.989298099999999,39.386420899999997,3491.800000000000182,Public/Government,Health Post,Dessie Zuria,ET030409,South Wello,ET0304,Amhara,ET03,Sere,"10",Approved
